"Assembly","FullName","BaseType","PublicParameterlessConstructor"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Controls.KeyTipControl","Avalonia.Controls.ContentControl","False"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Customization.AddNewToolbarWindow","Eremex.AvaloniaUI.Controls.Common.MxWindow","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Customization.CommandsListControl","Avalonia.Controls.UserControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Customization.CustomizationWindow","Eremex.AvaloniaUI.Controls.Common.MxWindow","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Customization.ToolbarsCustomizationControl","Avalonia.Controls.UserControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Internal.DropTargetIndicatorControl","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Internal.DropTargetIndicatorPanel","Avalonia.Controls.Panel","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Internal.FloatingToolbarCloseButton","Avalonia.Controls.Button","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Internal.PopupBasePopup","Eremex.AvaloniaUI.Controls.Common.ResizeablePopup","False"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Internal.PopupContainerPopup","Eremex.AvaloniaUI.Controls.Common.ResizeablePopup","False"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Internal.PopupMenuControl","Avalonia.Controls.ItemsControl","False"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Internal.PopupMenuHeaderControl","Avalonia.Controls.ContentControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Internal.PopupMenuItemsLayoutPanel","Avalonia.Controls.Panel","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Internal.PopupMenuPopup","Eremex.AvaloniaUI.Controls.Bars.Internal.PopupBasePopup","False"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Internal.ScrollButton","Avalonia.Controls.Button","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Internal.ToolbarCheckBox","Avalonia.Controls.CheckBox","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Internal.ToolbarCheckItemGroupItemsControl","Eremex.AvaloniaUI.Controls.Bars.Internal.ToolbarItemGroupItemsControl","False"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Internal.ToolbarCheckItemLayoutPanel","Eremex.AvaloniaUI.Controls.Bars.Internal.ToolbarItemLayoutPanel","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Internal.ToolbarControl","Avalonia.Controls.ItemsControl","False"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Internal.ToolbarCustomizationButton","Eremex.AvaloniaUI.Controls.Bars.ToolbarButtonItem","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Internal.ToolbarFloatingWindow","Avalonia.Controls.Window","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.Internal.ToolbarFloatingWindowClientControl","Avalonia.Controls.ContentControl","True"
